label,content
ham,Aww. Haha I dont mind more presents.
ham,Sig. Slept off. Sorry. Coming in  <#>  mins
ham,"Okok, see you at mac."
ham,"Hey sorry, running a bit late.. will come in  <#>  mins. Please start"
ham,Hmm okay I reach home le tell you.
ham,re the 2nd last team in that time slot. Coming? :)
ham,Woah why dip? Thought she jc?
ham,wah... the movie very good hor... very funny leh
ham,Ya at tt's office
ham,Wait for support
ham,Now get step 2 outta the way. Congrats again.
ham,Okay.
ham,Hhahaha why suddenly hang. You view your own pictures too much eh.
ham,Yeah sure. No problem.
ham,s ok. we wait 4 u.
ham,Haha hao ah! Let me know again eh. :D
ham,Lol what da heck is that
ham,<EMAIL>
ham,Dum dum full of love for u le
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,Bout  <#>  meet changi village
ham,"Yah lor, now no one disturb so easier to do... Somemore got tut too..."
ham,U working?
ham,I'm ok if everyone is.
ham,"Materials like  <#> . I cleared my electives already, combustionengine hard, I wont do it yet."
ham,t turned u off.Hav i?U free later tonight?Its a chore to sms...
ham,i feel so lucky everyday leh. hee. mugs. rest awhile
ham,Haha yeah why not! Hahaha you so illegal! What music??
ham,Where r u sitting?
ham,Thanks (:
ham,"Huh... Y so bad until eyes oso drop, okie lor, pass u e cage. When u wan it? My  tuts will start tis wk lor... Sianz..."
ham,Lol thats what I thought.
ham,have a good night!
ham,Hee. No need de. Sayang me ok le. Im so proud to have u as my bblp.
ham,"Yeah here already. No lah,just wanna do my duty since I havent beendoing it for a long time and my mum have been asking me bout it. Thenafterwards just head home lor."
ham,Are reached home? i am in 852 bus already remember to take your dinner.
ham,Haha woah. Daniel got no supporters eh.
ham,"Love you, honey."
ham,Whr ru
ham,HAPPY NEW YEAR apko bhi ji...!!!
ham,"Hey may and joyce, just a reminder to send me the notes by mon nightya. I intend to have them printed out on tues morning. Is  <#>  goodenough?"
ham,Hug you back...
ham,Oh xt said about 4pm. But we will contact you and jm when we going down eh.
ham,Lol Nth mch la. I gonna nap awhile
ham,Okay... So where shall i meet ü all?
ham,"Hi ppl who know about ironing board, please don't talk about itduring chalet if we play truth or dare, I don't want wr to know yetcoz he's from my exchange group. Thanks!(:"
ham,"Hey hey hey, later I going sheng shiong, got anything need me help buy??"
ham,Huh?
ham,Haha I will probably get B too! Haha thanks>< oh yeah have fun:P eventhough I still think there isn't much to do in msia:P
ham,m going to submit my forms tmr... The giro and cpf forms. Ü subm
ham,"ve reached there liao... Weather damn hot too, miz australia...anyway, enjoy ur diet regime... :)"
ham,U refresh see how?
ham,Where u gg?  Mummy sure ask de.. and wat time come back?
ham,"Ok, then I will try to get back to u before 1200 tommorow.thank you and gud nite =)"
ham,Haha quite okay except for the bad cough! But ttis sem gonna behectic man. This your second line?
ham,No lah I see the lift go up  <#>  floor wif full load when I amwaiting lah.... I inside I tink I go crazy lo lol...
ham,"kk, thanks lots! :)"
ham,Imagine cup ppl will do it tomorrow. Contact Gayan Garusinghe on  <#> . Tell them that I told u to contact...
ham,Dai nm
ham,"Finally, for the attic, can your guy design it as a trapdoor in theceiling?  Then no other walls or doors on the attic level necessary.Thanks for your help!"
ham,Arnd  <DECIMAL> ?
ham,"Perhaps after 3pm ?  Tentatively, since our child 's  schedule is notfixed yet.  Thanks!"
ham,Ok. Will sms u when we leaving
ham,Noooo you owe me you!
ham,Okay oh.
ham,Eh dear can lend me ur pw to nus Acc? I need to see something..
ham,No i'm still at benchi
ham,Hahas thks
ham,Ok where r ü..
ham,I was tinking vid enough alr since other grp also Nth mch
ham,m on my way home. Went to change batt 4 my watch then go shop a bit lor.
ham,Lol thx.
ham,"Today, if possible , i must have a copy of the invoice before i can send it for repair."
ham,Lol at least u got a laugh
ham,OMG I'M NOT GONNA BE HOMELESS
ham,Because I dont have gls already. Haha I will assign a helper to helpyou as part time gl ^^
ham,what time is the show
ham,Lol woah that make sense haha you have neck pain so fast?
ham,Cityhall le
ham,Haha. How u know? I need to ask u just 2 more things. One is theirrate and two whether if they've to commit for both days?
ham,i just got on the train...
ham,-.-
ham,5
ham,Hahahaha hao de thank you!!
ham,True. I don't have time anyway xP and if I did I'm lame any way.. oh well
ham,Will you be home
ham,Why I dont allow?
ham,Reached le
ham,Haha... Okie..
ham,"Mr tan, can I meet you tmr at  <#> am?"
ham,Irp you mean. Picked truman.
ham,Swt. Ok.. Rest well
ham,Where/when do we meet?
ham,Machan.. Poddak late wela waren ok.. 7PM
ham,ok can no problem
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
ham,He's getting tired.  Maybe another  <#>  mins
ham,Okay thanks!
ham,Not physics? Eh hav u been training
ham,hawhaw later shawn go fondle it then fyl.
ham,"Fridge got cake, go n eat..."
ham,Dear I reached home le!!!!! Hee love love you!!
ham,When i have stuff to sell i.ll tell you
ham,"Oie, slpt? i goin to slp le, gotta wake up early tml.. if u havent slp, go n slp soon k . good nite ;D"
ham,"Yea, he haven start doing yet."
ham,Yup yup... Next bus stop
ham,Lol lazy sia.
ham,"m in e midst of a talk... Sob sob, cant have lunch w u all..."
ham,Deal!
ham,Lmao I just gymed on sat! 2moro den gym u wan?
ham,Hmm can you come out awhile?
ham,Celine u there?
ham,"Does clarissa know? Till now, oddly, I still dun have her number.."
ham,"Hallo, have you finished your class? can we meet in 15 mins at e pink table at science canteen? I will wait near the instant photo place.blue shirt."
ham,Haha like  <#>  mins I think haha ooo I feel like taking a nap too!
ham,Lol tmr no schhhh.Wed first day.muahaha.
ham,"Last week 90.000 QT noby strike. put TM race 3. we buy box 13# 2, 11, 4. take Law n Order infront $12. Hopying TM heavy rain."
ham,Orh! I end at 6 today. Wanna meet for dinnel or sth?
ham,Haha good for my dear! Hope tml weekend they dun drill lo lol... Idoing work now so hardworking lol
ham,K
ham,"Sory f m troublin u nw.im nw cryin andrw,im goin thru sm photos f my brothr....ane i wnt my brothr andrw.i cnt liv andrw....nw dis pain s enuf...."
ham,"Ok, I see. Will discuss next time."
ham,Si fierce. Woodlands.
ham,okie lah... bo bian also... who ask me... jioed the wrong person out...
ham,Reaching school.
ham,Haha but still... Guilty mah. I said im going with you today but never.
ham,Can I cal you
ham,The Factory has been opened at 8:00am
ham,The dress code thingy.
ham,"Dinesh Ji < <#> >,"
ham,Where are you? Where to eat?
ham,Hai
ham,"Hey, I go lunch first. Tell me where're u all. Thanks."
ham,Darling dearie yei yei end le mah?
ham,Okay 6 mins to and fro. So I just spam eh.
ham,Ktv tomorrow 11 - 6?
ham,Where is that?
ham,Thr no crack i had chkd it. And besides y u hv to open xplore to watch lost? Do not exit xplore whn u opn it
ham,Hey hand in physics alr?
ham,In one min. Soon...
ham,好看吗
ham,LOL really?
ham,"Yo yo, supper tonight  <#> pm yassin 好吗?"
ham,Nikalte hi cl krna.
ham,Wishing you a wonderful week.
ham,Lol the name is a lieeee. I went that time and it was not a party haha
ham,Icic. Ya maybe she'll give tips. Haha. Yup next time then.
ham,Redbull gives wings ... hmmm nxt Monday go gym then swim
ham,Denny want breakfast?
ham,Hey doing anything tmr afternoon? Wanna go catch a show?
ham,"Hi ppl sorry I typed wrongly! It's  <#>  noon at amk mrt, we can havelunch at a prata shop near timo's house! Rmb to reply (:"
ham,Wru
ham,"Haha icic! Yeap waiting for my parents to come back! I just reachedhome! Can call if you want, i'm bored! Haha is it free for you toreceive mms??"
ham,kidhar ha...ana ha?
ham,":) jus dun wanna take up ur studyin time ma..Ü anyway,i goin to slp le. goin sch early tml. U dun stay up til too late hoh. Good nite dear.. *mucks*hugs*kisses*"
ham,Anna when u r coming can u buy me a surf exel packet.Only if u can......
ham,Haha tablets! Wow haha direct bus! Ahh then I hope no one flags the bus!
ham,Morning! :D
ham,U wanna ask hj?
ham,Then why meet at clementi? I go find u?
ham,m on da bus going home...
ham,add
ham,"We only manage to interview 5ppl due to time limit, will continuetml. There are a few that we are quite sure of, but as for the exactnumber we r thinking of discussing with u and the REs."
ham,Dunno y u ask me.
ham,Hmm I going nickhole hse if u go
ham,Doing back and biceps with weights! And I was stretching :O
ham,Yup you want email
ham,Din know yet. She bought in us ?
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
ham,"s type of hair colour rite... Aiya, let em get used to it lor, tell em everyone say v nice... Gee..."
ham,"Yoyo, dunno why cannot contact you all, I'm coming back ard  <#> , on <#>  on the way back now!"
ham,sup
ham,Hahaha my parents love the ukelele:P keep asking me to play hey soulsister LOL!
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,Abigail will forward now!
ham,"hee. gd gd. go do whatever u need to do.. take a rest, massage urmama, do ur coding... rem to drink water! mugs."
ham,Okay its fine
ham,Gud mrng
ham,Like 5 plus 6
ham,Okay can.
ham,n its abt self-confidence i think...
ham,I am going to collage will come late don't wait for me.
ham,Not course. Only maths one day one chapter with in one month we can finish.
ham,"Basn dhute gechlam.bolo,ph krechlo"
ham,Yeah I will sleep soon enough. I can wake up late tmr!
ham,Oyea~
ham,re done so soon?
ham,"Heee so.clever, reaching yishun le deeeearie"
ham,I don't blame you. There's a reason I stay the hell away from Ohio...you'll feel better leaving
ham,Da wat de nw film @ vineetha & vanitha..
ham,Our usual place seems occupie.. we might have to shift to PGP.
ham,And you are hungry so fast? Lol
ham,party at 10pm at my house.
ham,I can bring my harddrive
ham,no?
ham,Hey you can pay. With salary de. Only  <#> .
ham,I am in the meeting
ham,Aiya then why go?
ham,Abhinav Mehta added a photo of you on Facebook.  <URL>
ham,Orh!!!!! Next week lg plan nice outing for us. Hee
ham,Yes i am going from school have class till 5 can u meet me at law fac i have to fetch my mum at 930 pm so we have quite a lot of time
ham,"Running to a place for their food, meet at La Val's"
ham,Wats de pblm ??
ham,Hey love
ham,Lol today?
ham,Wokay. Am walking from biz. I ll be there in a couple of minutes
ham,m going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
ham,U ask her last time la. If she Rly want den break lo. Since everytimealso she last min dun wan. Now she can't say dun wan alr
ham,Haha oh no! My arms and nose got a little sunburned
ham,No need for the drug anymore.
ham,So I am meeting u tmr at 2 pm right?
ham,Practically no change; it's all good
ham,Call me
ham,K?
ham,"hey xin,mon 4 aug, 0845 at lt32,formal wear, cant wear jeans.tats d plan for 1st day of sch.Haiz, surely bring us tour ard e sch one, sianz..."
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
ham,Can can (:
ham,LOL. (: get a bf too! This guy is srsly just very awesome! really thefirst person I feel that he's my soulmate haha! My sch end at  <#>tmr._.
ham,Ya just telling abt tht incident..
ham,Dar I go bathe first. Rr:-) dun slp too late llk
ham,Rply
ham,Wow.. Say until like that wor.. Ü win liao la.. Haha... I mean when ü free la..
ham,You are on ah..
ham,No
ham,Hey all the best for your bio paper later... !
ham,Ah crap not free until damn late. Are you guys running short on parts urgently :/ if not i think let jc hold for a while more because we really don't have much too
ham,Okay!
ham,Haha yeah:P its raining!? Ooo just go ah!
ham,PROBABLY :X hahaha omg I can't wait ~~~
ham,Ok
ham,Yes yes goodnight! Omg it came out as dogfight!
ham,Yeah get the unlimited
ham,Ok =)
ham,Bout 6
ham,Ü collecting ur laptop then going to configure da settings izzit?
ham,Ok sure.
ham,Wat r u goin to watch?
ham,Okay. We go eat first. We just ended lesson.
ham,Btw I'm waiting for you by the business office
ham,Eh hon wai here. Take note of my number u lout
ham,Bring shows when u come. V bored here
ham,I sent you already
ham,Gud mrnggbest of luck
ham,Haha. Oh gosh. Okay lah. See u tml in our presentation class!
ham,Oh I mean urgent reply to her email.
ham,Nvm la as long as it can still eat
ham,like 15 lor really!
ham,Yea
ham,Anyway help u sign up back that one le left 1 slot only u dun wantthen cancel when near  <#>  more kiasu abit lol... I scare u not enuffresearch point
ham,Have a nice day
ham,"Hey guys, i'm there already. See u soon =)"
ham,sir ne kahan ha nasir sahab se milo wo guide kare gain
ham,It is. Calling me back.
ham,Yeah omg why!!!!
ham,When you guys planning on coming over?
ham,"then it can moisturise our skin. and rub in circular motion. u wash face, tone,then put a bit of jelly and cream onto ur hand,and tap it on your face,"
ham,老公，你真的好好啦！ will 好好补偿你的。hugs. reach home le let me know..
ham,Eh jus tell me!
ham,Yeap!
ham,t really care.I dun hav communication probs.See i got along w u quite well wat Right?U think so?
ham,"Softly d leaves of mem'ry fall. Slowly,i'll gather & pick dem all. Coz 2day,2morrow & till my lyf is thru, i'll always cherish knowing somebody lyk u!"
ham,"Sophie, paiseh, vivien and Joel also want pull out!"
ham,When who where
ham,where are you?
ham,Hahaha that man
ham,Yeah xP it's so obvious too xP
ham,"I swear i nvr. Haha. Okay okay. Anyway, the ghim mor market is famousfor their food too. See u on monday then!"
ham,Good
ham,Think before dinner. What time you gotta go back by?
ham,Fetch.
ham,Really? XP
ham,Da im realy sad 4 dat.... Im the sinner...
ham,Aee you happy?
ham,Haha I tried to process but you once said women are professional at 口是心非.
ham,Yeah watching my eyesight dont worry. Whachudoin then?
ham,So when do you wanna gym?
ham,"Yeah, I don't have any proper questions to ask"
ham,Saturday I free le. Wan do any shitz
ham,Has rolcal cum di
ham,"Ok lah, quite cooling. But I like the ceiling fan in hostel."
ham,yep
ham,Hmm what should I wear!
ham,Do u hav any frnd by name ashwini in ur college?
ham,Morning! I bet you are still asleep lol.
ham,I think 6th door from the front!
ham,kuch bhi nai ha yar.wase hi msg kia tha...main to betha ho wase hi
ham,Did you order the pizza already?  Will be back around 8
ham,m not goin to do it liao cos got test tmr...
ham,"Coming back now, will take  <#> ~ <#>  mins"
ham,No one.
ham,U go prep course nvr go SAT?
ham,Stupid here in one problem cant u understand from the way i spoke
ham,"Haha orh! haha I don't know, yeow xiang ask me go msn so I'm onlinebut he say brb ._."
ham,Hi let's go!
ham,Greeeaaaaaat
ham,Yu quan sent me: Eh boss. Samc how? Ideas leh. Go think of theinitial steps leh. Mr soh never reply meh.
ham,Zzz so sneaky one nv even say hi!
ham,Telugu
ham,Ok. 3 packs arriving around  <TIME>  --Your deliveryman.
ham,control udhar hi ha?
ham,Hey dnt forget to bring shewta dbms record...dnt forget
ham,"Huh... Jokes, okie,so weird... U enjoy ur day too, so gd can go back oredi..."
ham,Why le?
ham,YEA HAHA
ham,Yahh my class have a few orders
ham,Kk
ham,when? I'll be on time.
ham,U dint tel anythng properly....
ham,"By not saying ""wahhhh ok ok ok ok u win k. Everything u say iscorrect. Let u win -.- "" and read words carefully."
ham,Yeah home already. Didnt close the windows when it rained?
ham,Raj?
ham,I napd
ham,"Okay,nervous?"
ham,Kk how long more
ham,I am here
ham,<URL>  And ths is my link
ham,Still wnrking at d eye centre?
ham,"Btw, have you watched GoT?!"
ham,Goodmorning sleeping ga.
ham,Okay noted. WPR is  <#> . YPC is  <#> . WPRCD is  <#> . YPCH is  <#>. WPB is  <#> . From teck ghee cc.
ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
ham,Whoa why wake up this early?
ham,Like proofread and edited arguments and made sure we didn't look likewe did =P
ham,The unbeatable msz: wat is longr than wifes luv?wats luvly than sister's fight?which pillow is beter than a luvr's lap?wats warmer than dad's hug?wats swtr than a baby's kis?wats tastier than mom's cooking?wats stronger than a frnds shoulder? Ans:nothing! these al hav no substitutes. nvrmis itgd nit.....
ham,Lol nvm lo later then pass me... haha I also once in a while evilforgive mua~~~
ham,Wads optimization and chicken  snack??
ham,Eh?! isn't that on the same page?!
ham,Send me the new number
ham,Wait what no
ham,???
ham,"Hmm, think i'll go for one each, choc for both will be fine"
ham,"Huh, hm.. Y like that, okie lah, i go add u to msn, hee, funni, i cn find u in icq sia, lol"
ham,Haha icic! I never really follow! Haha yeah started another episode!O.o the format is abit odd!
ham,Haparuki haparuki gacko gecko piong!!!!
ham,pigoo. where u disappeared to? why nv reply me de.
ham,Haha yeah mugging! wow last 2 what the! Haha eng was damn killer lor.Oh yes no mid year AWESOME. haha ok tmr if I see I ask bah!
ham,Ha b0l bhai
ham,Yah..I still going.. U really not going?
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...
ham,I tink another  <#> mins lik tt
ham,Hey Andrew any news about the phone? Do your parents like it? Anyway How are things with jobs? Any good news?
ham,s so funny... Enjoy shoppin gal...
ham,How many ppl before my hip
ham,Ok lower level 1.
ham,Gud mrng dear hav a nice day
ham,aiyo. can sit down and iron. lower the ironing board more? eh benmama u got eat ur painkiller?
ham,<EMAIL>password-ty <#>
ham,U der
ham,s not going for lect.
ham,Now at ys.. coming back le. Reach home abt 7? Wan dinner?
ham,Then why u say u apply e wrong acct n e helpdesk cc ur supervisor. Ur dad haven come fetch u?
ham,"Hey tmr lets meet  <DECIMAL>  at holland v. The buffet is only from 5to 7pm, because last order is at 7pm. Dont be late alright, so see ya!:-D"
ham,wat modules are you taking?
ham,Oh? Watch using laptop?
ham,Goin 2 study..
ham,Where are you?
ham,Haha he would join in together with me bah if that time comes. Hestill have ns too.
ham,Buddha how r u?
ham,Yay I guess that is not too bad thank you!!!!!!!!!!!!!!
ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
ham,Lol lihai. I no sch today. Later I go your house transfer.
ham,Ok her
ham,"Yes damn tired. I was awaken by the rain and thunder, if not confirmsleep until 6am."
ham,One more! Coming over! Finally! =)
ham,"hey jules, will u be free for soccer on sunday?  bishan braddel"
ham,Lol why are you so anxious haha. I havent check yet.
ham,Ah no meet me at the bus stop beside the mosque.
ham,Fuck babe ... What happened to you ? How come you never came back?
ham,Yup. In episode  <#>
ham,"I pasted chun min's reply for u. Haha. Actually, quite sad sia. Somany pple have mid autumn msgs but no one send me except u. They onlysend me after i send them your msg. Haha."
ham,Valga JanaNayagam:鈥┾??〢ppa->CM鈥㎝agan->Deput CM鈥㎝agan1st->Central ministr鈥㎝agal->MP鈥㏄eran->Central ministr鈥㏕AMILAN->Ilichavayan..鈥︰LAGA TAMIL CHEMMOLI MANADU 鈥??(Our tax money  <#>  cr waste in just 5 days)鈥??d 2 all other ilicha Vayars.
ham,what you doing now ?
ham,Can
ham,Eh? Haha it's okay le.
ham,"Hi Andreu, dady came. About 2 start I think. Wishing u a hapy n safe journey. May God bless u. Bye."
ham,what is h <#> ? compare h <#>  with sip
ham,I took train! Omg I was 2 hours late!
ham,"I love you too, good night and sweet dreams. <3"
ham,"Uhhuh! You can ask ppl if you want but deadline is today!  Hahaha nohe isn't hahaha he used to be though!! I haven't finish:P alot ofexpansion packs!! Haha Ivan, wenbo, junxiong, huikang, sophie, friend,abbie! Qinxi also maybe!"
ham,Den how? When u wan lei? Happy birthday to u!
ham,Hey are we going out tmr
ham,on tv on tv!!
ham,Haha I can help u compile also later... ya lo lol...y leh a lot pplecannot make it arh... okie....
ham,"m suppose to brin dove... Hmmm, u can bring oso lor... In case wat i brought is not enuff..."
ham,"Thanks for the notice, thur  <#>  to 6 is alright. Its early enough,no worries, I have tutee telling me less than an hour before theactual timing. Get well soon!"
ham,Ok. After your exams?
ham,Ipt and interview ftw.
ham,t b 2 ex.
ham,Where u now??
ham,Happy birthday doood
ham,K:)k:)
ham,"uber taint joad durf kwisThe last word must be highlighted, this is for the # 2"
ham,Ohh okay! I wanted to ask what's there to fill in heehee:P
ham,m at AMK now
ham,Thanks! I need the emergency contact's name and relationship!
ham,ok
ham,HI THERE ANY 1? IM NESH AGE 23F. KL. ANY 1 CARE 4 CHAT?
ham,"Haha nv. I did ask her if she's celebrating valentine or not and shesaid with frens. So its better not to ask her now. Shld have ask herhp no though, cos the next time I see her may be next next Mondayclass."
ham,Laogong!! I reach home le!! Uuuuuu? So tired today. Must sleep earlyk! Hugs and kisses
ham,Fab house which floor ar??
ham,Wat time u b done?
ham,What doing?
ham,Ohh damn ~ I fell asleep hahaha ohh then how!
ham,Yraaaaaaaaaa
ham,U buy e present oredi?
ham,Hahha.. I thought you meeting your friend?
ham,m the first one..
ham,Wah wah. Haha read alot of books eh. I also leh. I read 7 books le.
ham,see you la. I wait for you.
ham,"Nolah. Tell u first becoz thurs got meeting. I feel that something iscoming my way leh. Now got GSM liao leh. I don't know what will comeout later. So how, are u going to change what u've wrote?"
ham,yo I just realized the mattress won't fit in a van and we need tomove fast on the  <#> st.. I think we should rent a van just that day
ham,s reply den we confirm e details?
ham,LOL ... No just was busy
ham,Eat not e main obj. We go watch F1! Want ago? But it's not actual day though.
ham,Mini project. And course
ham,Hey let me know what time. I am free all day. Can come over..
ham,Yup.
ham,Ah okay.
ham,want to meet ?
ham,Thanks
ham,Hey tonight you all free to come astro?
ham,On  <#>  le. Ok la just now tk to u no pain. Lg so in lv with lp. Heee
ham,"Cool cya.. lower floor,  biz Canteen"
ham,How r u 2day R u keen in art n music
ham,Woah haha when?
ham,K:)k.sony max.
ham,"Haha so cool :P i'm doing the practice questions, but I think mightdo badly): when i'm nervous I forget everything!"
ham,Home le yei yei lp
ham,Haha alright. Meet where?
ham,"s comfort delgro liao... Ya, quite near my hse... So u still workin at maxwell hse huh.."
ham,Busy. Shal cal u
ham,Nice try!
ham,Its stupid when u ask this qns in a jap laj <#>  class to asingaporean student in the class.
ham,A boy' eye is fastr dan Google in searching b'ful gal in a crowd bt A boy' heart is slowr thn govt bus while proposing a gal whom he luvs .Gn..
ham,Haha how u know? Thought it jus send 2 sms t all.
ham,"sorry, i'm not free on friday. why?"
ham,"@ <#> yrs of age,u feel parents & frnds r best.. @ <#>  u feel frnds & ur lover r best.. @ <#>  u feel ur frnds & ur lifepatnr r best.. @ <#>  u feel ur frnds & ur kids r best.. @ <#>  u feel ur frnds & relativs r best.. @ <#>  & till ur death u feel ur frnd is d best.. Pp"
ham,"HKY, I remember I have to give u $30 (at Peace Centre 2 weeks ago). cc LCT"
ham,Idiot po po pakki
ham,Good! There is hope for this world!
ham,nope...dun think so much!
ham,I wanted to call u. Talk easier. But kept missing the time. Haha. N Igot so many qns for u lor..
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,Well that part & parcel of cycle of Governance it does not come to halt with change of govt.
ham,Really? Jesus that's horrible
ham,play soccer today?
ham,What you doing?
ham,Eric says there is bug. Please check as soon as you can
ham,Yes. In about  <#>  minutes. Is that OK?
ham,t think I am taking anything out of my core this sem. But got 2 required cross facs which are statistics and genes and society.
ham,Nah I will leave yours out.
ham,"Hey, your SSB <#>  is which timeslot?"
ham,Emoooooo
ham,Ok meet me at d arts canteen.. Can..
ham,"133 take from amk... Yck take 853... Ya, u nd to bring cos i dun have any at home..."
ham,Okay cool. Thanks.
ham,Email alex
ham,<#>  I tjlhinllk
ham,but I need the rings. U know how I love to get married... just think of all those rings :)
ham,Still in class larh
ham,Can i pass u cash instead?
ham,Kiss u! Dear I woke up at 2 plus then thot u slp le. So yeiyei! Slpso late hor.. gg chemistry?
ham,"Oh ya... Haha, now muz book one wk b4 hand..."
ham,Lols I mayb doing arp with jens sia. U doing with who
ham,Ya lo I Sign up for the iPhone de only 1 left le lol... they putpossible device itouch and other smartphone lol
ham,Hmmmmmm but not as nice as teh tarik one leh lol.... so got enuff kafor mj or not
ham,"Awesome, that gonna be soon or later tonight?"
ham,Makin excuses..lol :-p
ham,How can i dun want u? But now u say i a bit hungry liao..
ham,Ok no prob
ham,when is our next meet?
ham,Got on mrt oledi?
ham,Lol... ok.
ham,Yeah lol
ham,K macho.gud nit.g.b *CricInfo Alerts! Type CRICKET & sms to  <#> . Cond apply*
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
ham,"Sch uniform la... At hwa chong bridge... Eh later ask daddy dun pick me, i wan to stay in sch do work..."
ham,Ya lo lol but lucky got half an hour break in between then I go trybuy mango milkshake but dun have lol... in the end j bought honeydewmilkshake! Haha... dunno mah maybe u got something on last min mahlol
ham,Haha yeah lor. Cya!
